"Country.Name","Country.Code","Daily.tobacco","Daily.cigarettes"
"Sweden","SWE",11.8,11.8
"Switzerland","CHE",19.5,19.1
"Syrian Arab Republic","SYR",18.4,15.264
"Tajikistan","TJK",18.4,15.264
"Tanzania, United Republic of","TZA",11.9,10
"Thailand","THA",18.2,17.4
"Timor-Leste","TLS",18.4,15.264
"Togo","TGO",18.4,15.264
"Tonga","TON",25.8,19.7
"Trinidad and Tobago","TTO",18.4,15.264
"Tunisia","TUN",18.4,15.264
"Turkey","TUR",22.4,21.4
"Turkmenistan","TKM",18.4,15.264
"Tuvalu","TUV",18.4,15.264
"Uganda","UGA",6.6,5.3
"Ukraine","UKR",25.4,24.1
"United Arab Emirates","ARE",18.4,15.264
"United Kingdom of Great Britain and Northern Ireland","GBR",20.3,20.3
"United States of America","USA",14.3,14.3
"Uruguay","URY",18.9,17.6
"Uzbekistan","UZB",10.4,8.5
"Viet Nam","VNM",19.2,14.3
"Zambia","ZMB",10.5,8.2
