"Country.Name","Country.Code","X2016"
"Panama","PAN",55187700000
"Peru","PER",1.92e+11
"Philippines","PHL",3.05e+11
"Palau","PLW",2.93e+08
"Papua New Guinea","PNG",714385454635.06
"Poland","POL",4.7e+11
"Pre-demographic dividend","PRE",1.19e+12
"Puerto Rico","PRI",1111828838311.2
"Portugal","PRT",2.05e+11
"Paraguay","PRY",27440632934
"West Bank and Gaza","PSE",13397100000
"Pacific island small states","PSS",8888374720
"Post-demographic dividend","PST",4.51e+13
"French Polynesia","PYF",196993151395.612
"Qatar","QAT",1.52e+11
"Romania","ROU",1.87e+11
"Russian Federation","RUS",1.28e+12
"Rwanda","RWA",8376048905
"South Asia","SAS",2.9e+12
"Saudi Arabia","SAU",6.46e+11
"Sudan","SDN",95584380032
"Senegal","SEN",14765462631
"Singapore","SGP",2.97e+11
"Solomon Islands","SLB",1202125000
"Sierra Leone","SLE",3668876080
"El Salvador","SLV",26797470000
"San Marino","SMR",274494804054.6
"Somalia","SOM",6.217e+09
"Serbia","SRB",37745114708
"Sub-Saharan Africa (excluding high income)","SSA",1.5e+12
"South Sudan","SSD",2538213140652.08
"Sub-Saharan Africa","SSF",1.5e+12
"Small states","SST",4.31e+11
"Sao Tome and Principe","STP",351054248.5
"Suriname","SUR",3620699735
"Slovak Republic","SVK",89551834323
"Slovenia","SVN",43990635176
"Sweden","SWE",5.11e+11
"Swaziland","SWZ",3727303664
"Seychelles","SYC",1427323889
"Syrian Arab Republic","SYR",1035471116186.4
"Chad","TCD",9600761474
"East Asia & Pacific (IDA & IBRD countries)","TEA",1.35e+13
"Europe & Central Asia (IDA & IBRD countries)","TEC",3.45e+12
"Togo","TGO",4399995987
"Thailand","THA",4.07e+11
"Tajikistan","TJK",6951657159
"Turkmenistan","TKM",36179885714
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",5e+12
"Timor-Leste","TLS",599729813068.4
"Middle East & North Africa (IDA & IBRD countries)","TMN",576344645925.44
"Tonga","TON",395159628.8
"South Asia (IDA & IBRD)","TSA",2.9e+12
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",1.5e+12
"Trinidad and Tobago","TTO",20989155540
"Tunisia","TUN",42062549395
