Country.Name,Country.Code,X2015,gdp,sani,pre,pri,sec,ter,smo.Daily.tobacco,smo.Daily.cigarettes,ob,al,co2,hiv
Guinea,GIN,59.39895122,6298927773,20.1,88.41456527,105.1536313,84.57643913,51.08047157,18.4,15.264,26.6,0.7,0.207492621,1.5
"Gambia, The",GMB,60.95743902,964599177.5,58.9,37.95362091,91.55632019,89.96534026,43.77204886,18.4,15.264,31.9,3.2,0.267684889,1.7
Guinea-Bissau,GNB,56.95039024,1126122708,20.8,46.6336983,100.341666,86.88738597,50.29526114,18.4,15.264,29.9,4.3,0.157241167,3.1
Equatorial Guinea,GNQ,57.50839024,10178967206,74.5,57.75041962,79.12032318,87.35568465,56.50418021,18.4,15.264,26.7,8.1,4.733816529,6.2
Guatemala,GTM,73.04297561,68763255964,63.9,44.65916824,101.7914124,65.62670135,21.84680939,18.4,15.264,55.9,3.9,1.150977994,0.5
Guyana,GUY,66.53936585,3446266344,83.7,61.03700511,103.489064,66.98170326,42.05234795,18.4,15.264,49.4,8.6,2.632347952,1.6
Honduras,HND,73.32460976,21516915353,82.6,45.95742035,110.713768,70.77558899,22.05937004,11.1,9.9,55.8,4,1.07522179,0.4
Croatia,HRV,77.27560976,50425333970,97,62.72557068,97.96414948,98.21647644,69.05249023,31.1,24.7,59.6,11.7,3.973804906,0.1
Indonesia,IDN,69.03863415,9.32E+11,60.8,56.68693206,105.8527527,85.84207916,24.25494003,33.1,30.8,28.2,0.6,1.819363319,0.4
India,IND,68.33260976,2.26E+12,39.6,12.20660019,108.6006165,73.96920013,26.87487984,10.7,3.1,19.7,4.6,1.730000432,0.3
Ireland,IRL,81.50243902,2.94E+11,90.5,96.7951889,101.4280014,127.4819183,83.77778625,19.2,19.2,60.6,10.9,7.378117809,0.2
"Iran, Islamic Rep.",IRN,75.74263415,1.15968E+11,90,50.78187943,108.916008,89.16723633,71.88114166,10.4,5.6,61.6,1,8.283020787,0.1
Italy,ITA,83.4902439,1.85E+12,99.5,98.66101837,101.0373535,102.9024582,62.49607086,22,21.1,58.5,6.1,5.270866786,0.3
Jamaica,JAM,75.80668293,14027151473,81.8,99.46716309,106.8070829,82.10732269,27.22027016,13,9.3,55.5,5.1,2.59321537,1.7
Jordan,JOR,74.19102439,38654727746,98.6,32.19713974,99.52550477,72.79638899,44.86951828,31,22,69.6,0.7,3.002514727,0.1
Kazakhstan,KAZ,72,1.34E+11,97.5,60.37080002,110.5636826,109.1081009,46.03990936,17.4,16.1,53.6,8.2,14.36238966,0.2
Kenya,KEN,66.64565854,70529014778,30.1,76.22380066,108.9739304,108.2275848,40.06020818,9.8,8.7,25.5,4,0.310415314,5.4
Kyrgyz Republic,KGZ,70.65121951,6551287938,93.3,27.58789063,107.3585815,92.05046844,46.90145111,20.9,19.9,48.3,3.9,1.646395339,0.2
Cambodia,KHM,68.47204878,20016747754,42.4,17.94376945,116.6571274,82.24626817,13.0882597,19.8,16.8,21.7,6.1,0.437759998,0.6
Kuwait,KWT,74.74682927,2.64647E+11,100,75.24518915,92.0989231,94.97264862,51.52128473,18.4,15.264,73.4,0.1,25.22386443,0.1
Lao PDR,LAO,66.28404878,15903437790,70.9,35.34938049,111.3458099,61.69723892,16.90589905,29,23.6,25.4,7.5,0.297200884,0.3
Lebanon,LBN,79.4982439,47536798648,80.7,77.59599304,92.41384888,61.20574951,38.48477173,28.7,16.9,67.9,2.2,4.295732552,0.1
Liberia,LBR,61.98021951,2.10E+09,16.9,156.0634155,93.91632843,37.29980087,57.2488067,11.2,7.5,30.9,5.2,0.212967664,1.6
Sri Lanka,LKA,74.98895122,81321876307,95.1,93.03975677,101.6766968,93.754111,19.79661942,10.9,7.5,28.9,4.5,0.885545809,0.1
Lesotho,LSO,53.57009756,2199709489,30.3,33.95215988,105.5202789,53.77215958,63.42348677,19.9,14.9,38.7,6.4,1.150111032,25
Lithuania,LTU,75.1195122,42738875963,92.4,91.31036377,103.4391022,108.2596512,35.03983856,23.6,18.9,59.6,16.2,4.378090123,0.2
Latvia,LVA,74.12439024,27677391316,87.8,88.19287109,99.66523743,119.4924469,57.89697308,30,26.8,57.8,10.6,3.498192882,0.7
Morocco,MAR,75.52014634,1.01E+11,76.7,56.86927032,114.7061462,93.50703241,28.14357948,17.9,14.1,26.4,0.7,1.744379974,0.1
Moldova,MDA,71.37121951,6749515655,76.4,83.89848328,92.41278076,86.10812378,41.2134819,20.1,17.9,55.6,17.4,1.386829142,0.6
Madagascar,MDG,65.50782927,9990653078,12,18.06114006,148.894455,87.26380253,42.68441295,18.4,15.264,23.4,1.9,0.130421321,0.2
Mexico,MEX,76.88136585,1.05E+12,85.2,67.89923401,98.66999488,105.2758154,48.53491781,8.3,8,75.9,6.8,3.866241113,0.3
"Macedonia, FYR",MKD,75.52431707,10899583155,90.9,36.35166931,93.21849823,79.2940979,42.06335068,18.4,15.264,23.9,5.7,3.614938183,0.1
Mali,MLI,57.45770732,14045098238,24.7,4.055970192,75.79035187,41.30747986,55.89904901,14.9,8.5,66.4,1,0.083228663,1
Malta,MLT,81.94634146,10949092472,100,111.1687393,103.4143906,94.8015976,47.42187119,20.7,18.3,83.5,7.2,5.491524789,0.1
Myanmar,MMR,66.38563415,67429590536,79.6,65.47702122,103.0705169,102.2732351,38.99657589,15.8,10,40.6,0.7,0.416600362,0.8
Montenegro,MNE,76.86431707,4173255531,95.9,55.35472107,94.30671692,90.34223175,54.33351243,18.4,15.264,60.4,11.5,3.55607179,0.1
Mongolia,MNG,69.11587805,11160356498,59.7,61.92721224,100.89608,91.46233368,68.5670166,22.7,20.2,59.4,7.8,7.127326348,0.1
Mauritania,MRT,63.04636585,4634588338,40,10.60464954,102.4521713,30.5981102,5.621729851,19,8.7,32.3,0.1,0.666822428,0.5
Malawi,MWI,62.54336585,5441852138,41,81.61180878,145.4657745,43.39519119,66.52229348,11.9,9.7,42.5,2.5,0.07476291,9.2
Malaysia,MYS,75.22019512,2.96E+11,96,93.94883728,101.7920532,77.57128143,26.07408905,18.2,16.1,30.6,1.7,8.032991579,0.4
Namibia,NAM,63.63643902,10267157280,34.4,64.80864029,98.49461091,73.43771754,52.98087359,18.9,12.3,88.5,11.8,1.583728667,13.8
Niger,NER,59.68187805,7508986509,10.9,7.365499973,72.4993515,20.74982071,57.98053774,6,5.6,28.9,0.3,0.111073516,0.4
Nigeria,NGA,52.97792683,4.05E+11,29,79.73639269,98.21000305,94.07759805,47.64344437,7,4.8,80,11.3,0.545622113,2.9
Nicaragua,NIC,75.038,13230844687,67.9,61.32840758,100.7546732,93.3194153,40.24067265,18.4,15.264,22,4.6,0.808520856,0.2
Netherlands,NLD,81.70731707,7.71E+11,97.7,95.63011169,104.7017212,135.4738007,47.03796121,19.6,18.8,65.6,9.6,9.920138075,0.2
Nepal,NPL,69.86985366,21143873417,45.8,85.41809082,135.4335022,67.16985321,14.93994999,18.1,16.9,57.8,2.1,0.283538526,0.2
Pakistan,PAK,66.33217073,2.84E+11,63.5,72.31954193,92.70954132,44.52587128,9.927390099,18.6,11.6,85.1,0.1,0.896264105,0.1
Panama,PAN,77.81743902,55187700000,75,58.78311272,106.9903651,92.30722894,41.49688732,3.9,3.4,52.9,7.7,2.254311363,0.8
Peru,PER,74.71341463,1.92E+11,76.2,88.70420074,101.6951675,95.74452209,48.46995854,18.4,15.264,27.6,5.2,1.993485949,0.3
Philippines,PHL,69.00985366,3.05E+11,73.9,85.4382419,103.0409024,82.88070803,54.89696322,20.6,18.6,58.3,5.6,1.055456846,0.1
Paraguay,PRY,73.04297561,27440632934,88.6,66.94462823,108.2950352,93.70803388,45.4079355,11.9,9.9,57.5,9.6,0.870219291,0.5
Qatar,QAT,78.46270732,1.52E+11,98,58.78335953,102.9976196,91.17249298,14.51807976,18.4,15.264,57.7,1.3,45.42323996,0.1
Romania,ROU,74.96097561,1.87E+11,79.1,90.98455048,89.78305817,92.25221252,53.22021866,25.7,23.8,57.1,12.9,3.516153691,0.1
Rwanda,RWA,66.62087805,8376048905,61.6,17.98283958,132.5500641,36.68696976,7.897079945,18.4,15.264,52.3,10,0.074016446,3.1
Saudi Arabia,SAU,74.5744878,6.46E+11,100,17.35004997,109.4780273,82.74349392,63.06621933,14.5,10.2,28.4,0.2,19.5292718,0.1
Sudan,SDN,64.22941463,95584380032,64.93885297,59.20490184,96.44470245,96.18263945,49.77568146,18.4,15.264,58.9,2.7,2.764491717,0.2
Senegal,SEN,66.66143902,14765462631,47.6,14.90421009,82.17194366,49.64675903,10.38665962,9.5,6.8,57.1,0.5,0.608809117,0.4
Sierra Leone,SLE,51.41285366,3668876080,13.3,10.16469955,127.598938,43.2502594,40.78400697,25.7,20.6,31.8,8.2,0.184925702,1.7
El Salvador,SLV,73.00309756,26797470000,75,72.17149353,109.1791306,79.42540741,29.1310997,18.4,15.264,59.9,3.5,1.000644623,0.6
Serbia,SRB,75.48780488,37745114708,96.4,58.17150879,101.3429184,96.66960907,58.28768921,33.5,31.1,36.8,12.9,5.282521917,0.1
Suriname,SUR,71.28619512,3620699735,79.2,93.37789154,122.8117218,81.14267731,40.18842242,18.4,15.264,38.4,6.5,3.634019433,1.4
Slovak Republic,SVK,77.21219512,89551834323,98.8,93.63923645,99.73207092,92.46653748,63.99328443,22,18.8,56.1,12.5,5.661581328,0.1
Slovenia,SVN,81.07804878,43990635176,99.1,82.92261831,103.9908552,81.69732795,40.59786288,17.7,14.9,55,10.9,6.213686845,0.1
Sweden,SWE,82.55121951,5.11E+11,99.3,93.93657684,123.0191879,140.4588318,62.30076981,11.8,11.8,54.3,8.7,4.478182178,0.2
Swaziland,SWZ,56.91236585,3727303664,57.5,74.9427667,100.920755,83.29240632,41.54387283,7.1,4.8,56.4,6.4,0.928714992,27.2
Chad,TCD,52.55395122,9600761474,12.1,62.4424174,103.1027098,79.6633641,56.30275284,18.4,15.264,23.1,4.4,0.053777688,1.3
