"Data Source","World Development Indicators",

"Last Updated Date","2017-11-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112.199333190918","110.80143737793","109.402900695801","110.998306274414","109.214302062988","110.839050292969","111.37671661377","114.238586425781","115.224411010742","113.078826904297","113.775741577148","113.74178314209","105.219398498535","104.062759399414","116.108016967773","117.31803894043","","",
"Afghanistan","AFG","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","31.3417491912842","32.2103385925293","32.5074691772461","32.8737983703613","33.4375991821289","33.3162307739258","34.2922592163086","35.1228408813477","36.6260108947754","","44.7743797302246","48.5433502197266","17.6810894012451","","22.6511306762695","24.6951808929443","26.6947593688965","","33.4993705749512","31.1845703125","30.0911502838135","28.6841506958008","","31.1537303924561","43.1292686462402","46.2432289123535","","","33.3125495910645","27.0407199859619","22.334810256958","22.2023792266846","73.3095932006836","99.2484893798828","111.260559082031","104.171371459961","107.817420959473","104.690818786621","106.453773498535","102.225288391113","105.520927429199","102.809631347656","108.928520202637","110.065437316895","111.744132995605","111.877082824707","",
"Angola","AGO","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","58.7272186279297","63.8973083496094","66.0995407104492","72.1068496704102","","","","","","149.035827636719","130.805694580078","121.176628112793","108.75520324707","94.6782302856445","75.0247421264648","81.0715637207031","81.6692810058594","81.0561599731445","82.0118637084961","78.2584991455078","71.9317626953125","69.3685607910156","","","","","","78.3684005737305","","","","","","","","","105.210403442383","111.913757324219","111.158340454102","113.507873535156","128.704147338867","","","","","",
"Albania","ALB","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","119.347679138184","","114.998847961426","112.21565246582","107.530540466309","105.063850402832","103.665138244629","102.733268737793","103.692901611328","103.917839050293","103.83846282959","101.758659362793","99.908821105957","99.7855224609375","99.8214721679688","101.630790710449","99.9687805175781","98.9478607177734","101.98957824707","104.533958435059","106.823097229004","108.567962646484","107.733467102051","106.305458068848","104.749519348145","103.473999023438","101.559196472168","100.017799377441","98.3808212280273","101.472358703613","99.5938415527344","99.093132019043","99.5195007324219","97.5253295898438","99.013313293457","101.815742492676","104.784393310547","107.784561157227","112.486640930176","113.699798583984","",
"Andorra","AND","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","88.6050262451172","","","","","","","","114.375617980957","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","66.6218719482422","66.7205200195313","68.2586898803711","69.5220489501953","69.9199523925781","71.3553924560547","73.2274398803711","74.2040023803711","74.6033782958984","76.4819412231445","77.7817993164063","78.039421081543","78.9477615356445","79.8058319091797","80.7147674560547","80.5687026977539","81.2927017211914","82.2864532470703","82.8176498413086","82.5361328125","83.1466827392578","83.5946502685547","81.0159530639648","81.5911483764648","84.1344604492188","82.9328231811523","85.2250213623047","85.9204711914063","86.6564483642578","87.916259765625","88.838996887207","89.9732894897461","91.4686813354492","92.7707824707031","93.4525680541992","94.2048797607422","95.3209991455078","96.0035400390625","96.8566665649414","97.3373107910156","97.9726867675781","97.4242172241211","99.0198669433594","97.6010894775391","97.0270767211914","","",
"United Arab Emirates","ARE","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","79.0609970092773","85.756477355957","88.2276382446289","86.6671676635742","85.6829528808594","95.0133819580078","99.5754165649414","98.0150833129883","93.9146270751953","91.5899276733398","88.5877685546875","93.3518371582031","94.609733581543","95.8839569091797","95.8346405029297","96.6572570800781","97.9100036621094","100.853172302246","105.436218261719","109.388778686523","110.08812713623","104.932899475098","102.383239746094","103.243019104004","104.960510253906","103.158988952637","99.6616592407227","96.4281768798828","94.1961135864258","90.1376113891602","87.6972579956055","92.1294174194336","99.1097412109375","103.488746643066","105.506843566895","104.056716918945","103.090530395508","","97.3291702270508","99.6996078491211","99.0844573974609","101.423202514648","100.97395324707","106.711669921875","116.345840454102","",
"Argentina","ARG","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","105.649543762207","106.378959655762","105.941680908203","105.529571533203","106.310791015625","106.163818359375","105.860076904297","106.77995300293","106.381309509277","106.826728820801","106.885101318359","107.623466491699","107.775497436523","","105.562072753906","105.470100402832","106.078056335449","106.360580444336","107.024421691895","","106.561569213867","109.085693359375","","","111.943511962891","","111.36750793457","108.266799926758","112.947067260742","116.052947998047","117.363487243652","118.06462097168","118.758522033691","116.501312255859","117.813636779785","117.133293151855","118.83519744873","119.348686218262","119.441162109375","118.211410522461","116.718162536621","114.76847076416","112.978256225586","110.565986633301","109.988891601563","","",
"Armenia","ARM","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102.468963623047","99.2122116088867","102.577018737793","94.7253723144531","90.9055480957031","92.0012969970703","125.68025970459","128.288192749023","133.036193847656","98.526252746582","102.223609924316","95.5784606933594","94.3255920410156","94.6205673217773","94.2990570068359","97.7112579345703","108.46671295166","107.553581237793","102.449241638184","","","","","","98.4666213989258","",
"American Samoa","ASM","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","80.7281188964844","98.7173080444336","","91.7839584350586","88.4030990600586","90.6112670898438","86.9828567504883","81.1227264404297","76.9175109863281","","","","","112.800712585449","","","","","","","","100.140007019043","","","109.147331237793","","","","","124.13037109375","","","","","","","104.319206237793","104.74723815918","102.798797607422","103.408988952637","100.677047729492","97.8928604125977","","97.1073989868164","97.0528717041016","",
"Australia","AUS","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","110.80623626709","110.218437194824","109.526611328125","104.714881896973","107.558250427246","108.445266723633","110.431671142578","111.491676330566","111.05037689209","110.231460571289","108.877906799316","107.786712646484","106.470542907715","105.747871398926","104.270980834961","104.856170654297","105.305328369141","105.945281982422","106.137092590332","105.8115234375","105.531578063965","105.411750793457","105.324783325195","105.292236328125","100.792633056641","101.099128723145","100.729560852051","100.501472473145","100.256309509277","100.337287902832","100.251777648926","101.150238037109","101.274971008301","101.879119873047","102.389152526855","103.010963439941","104.98486328125","105.058128356934","105.319061279297","105.704086303711","105.991500854492","106.453323364258","106.567771911621","106.075698852539","102.207817077637","",
"Austria","AUT","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","103.429138183594","102.895690917969","101.281776428223","100.164260864258","99.7877883911133","99.3358993530273","99.5762100219727","97.3933563232422","96.8788299560547","96.3453979492188","96.5263290405273","97.4223937988281","97.2372512817383","97.2459487915039","96.7793807983398","99.2838592529297","101.116073608398","103.949211120605","105.74227142334","105.482109069824","104.290382385254","104.070747375488","103.46605682373","102.562530517578","102.51252746582","102.543968200684","102.9658203125","103.769050598145","103.926063537598","103.817420959473","103.09300994873","101.388008117676","100.604553222656","100.871688842773","100.982490539551","101.689811706543","101.756462097168","100.774368286133","100.231262207031","99.8386764526367","99.8693313598633","100.76927947998","101.560722351074","102.248977661133","102.970161437988","",
"Azerbaijan","AZE","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","115.444732666016","","","","","118.56990814209","","","110.403297424316","110.121559143066","109.057960510254","108.18350982666","107.709289550781","110.45556640625","111.74430847168","93.2537536621094","94.5219268798828","92.9260025024414","95.4801406860352","97.2074890136719","98.8610000610352","98.3494262695313","96.2132415771484","97.2613296508789","95.526969909668","94.2166595458984","94.7712020874023","94.0724716186523","95.0685729980469","93.7622985839844","95.5736312866211","97.9553070068359","100.500450134277","106.05989074707","106.601486206055","",
