Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Brazil,BRA,70.01639024,70.44256098,70.84921951,71.24043902,71.61819512,71.986,72.34934146,72.70973171,73.06865854,73.42309756,73.76956098,74.1005122,74.41043902,74.69634146,74.9582439,75.19912195,
Barbados,BRB,73.2195122,73.38392683,73.54631707,73.70717073,73.86802439,74.03034146,74.19363415,74.35741463,74.52170732,74.6854878,74.84880488,75.01014634,75.17002439,75.32795122,75.48390244,75.63790244,
Brunei Darussalam,BRN,75.29478049,75.50765854,75.72302439,75.93887805,76.14921951,76.34158537,76.50043902,76.61934146,76.6957561,76.73670732,76.75419512,76.76719512,76.79519512,76.85121951,76.94173171,77.0667561,
Bhutan,BTN,60.74843902,61.61443902,62.47387805,63.31129268,64.11470732,64.86965854,65.56521951,66.20039024,66.77765854,67.2994878,67.77429268,68.21095122,68.62490244,69.02507317,69.41797561,69.80712195,
Botswana,BWA,48.98258537,48.78319512,49.04378049,49.71356098,50.74636585,52.07031707,53.59368293,55.20960976,56.81946341,58.35465854,59.78092683,61.09809756,62.3472439,63.55065854,64.69439024,65.75109756,
Central African Republic,CAF,43.91429268,43.73358537,43.69631707,43.8054878,44.05763415,44.44282927,44.94321951,45.52646341,46.16317073,46.83492683,47.53270732,48.25697561,49.01214634,49.79565854,50.59104878,51.37785366,
Canada,CAN,79.23658537,79.48780488,79.5902439,79.83902439,80.14146341,80.29268293,80.29268293,80.54390244,80.69512195,80.94634146,81.19756098,81.44878049,81.5835122,81.77204878,81.95304878,82.12902439,
Central Europe and the Baltics,CEB,72.71969035,73.09799286,73.24431357,73.38382869,73.73940392,73.84004668,74.09472478,74.25238333,74.57753902,74.9318257,75.29534873,75.88847488,75.9934886,76.35516299,76.68547642,77.0269071,
Switzerland,CHE,79.6804878,80.1804878,80.38536585,80.53658537,81.08780488,81.23658537,81.4902439,81.74146341,81.99268293,82.04390244,82.24634146,82.69512195,82.69756098,82.79756098,83.19756098,83.19756098,
Channel Islands,CHI,77.514,77.77663415,78.05168293,78.33317073,78.61609756,78.894,79.16192683,79.41541463,79.6524878,79.87114634,80.07134146,80.25302439,80.42212195,80.58112195,80.735,80.88526829,
Chile,CHL,76.64470732,76.88702439,77.10802439,77.30768293,77.487,77.64743902,77.79095122,77.923,78.05002439,78.1765122,78.30892683,78.4527561,78.60953659,78.78026829,78.9644878,79.16068293,
China,CHN,71.99558537,72.43690244,72.873,73.28773171,73.67207317,74.01756098,74.32282927,74.59407317,74.83992683,75.06343902,75.26609756,75.45382927,75.62804878,75.79517073,75.95719512,76.11709756,
Cote d'Ivoire,CIV,46.69743902,46.59731707,46.67253659,46.8942439,47.24458537,47.69641463,48.21882927,48.78029268,49.35146341,49.91136585,50.45070732,50.97234146,51.49017073,52.01604878,52.54707317,53.0782439,
