Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Burundi,BDI,,1.812440038,1.881800056,1.415230036,1.755959988,2.132669926,2.304579973,2.281790018,2.432140112,2.555860043,2.604690075,2.980940104,3.179739952,3.083250046,3.290390015,3.648659945,3.902539968,4.29997015,4.502560139,4.925559998,5.218589783,5.822100163,6.158390045,6.792359829,,,,,,,,9.732150078,10.08815956,10.24190998,11.65470028,12.6990099,13.89468956,14.82828999,,19.76028061,22.8243103,25.51767921,27.89779091,32.27848816,37.88898087,42.48006821,
Belgium,BEL,,80.80261993,82.19335175,82.5696106,82.95842743,82.451828,82.46804047,84.19999695,86.82267761,88.47976685,89.71105194,91.28785706,93.36250305,93.68134308,96.60022736,99.0661087,100.7633591,101.2863388,102.2951584,102.7038498,102.8813782,102.9188766,103.563797,141.9560242,144.5675659,146.1407471,145.6914978,,,141.3829651,144.6747131,153.7839966,155.8604431,158.9875641,107.9164963,108.354248,108.5035782,107.8707199,106.4128265,105.6959534,105.785881,106.4811325,106.3094635,163.1010132,164.8117371,166.8084717,
Benin,BEN,,4.287759781,5.173639774,6.365670204,7.098330021,8.235699654,8.558989525,9.129560471,9.998689651,10.75175953,12.23659992,15.21802998,18.20298958,20.90028954,19.84169006,18.69928932,16.08408928,14.90328979,,,,,,,,,,,,20.79389,21.60569954,23.37586975,25.2930603,26.58069038,28.34750938,,,,,,,47.68149948,,54.16606903,54.36360168,56.81195831,
Burkina Faso,BFA,,1.283669949,1.31716001,1.401350021,1.628149986,1.70472002,1.742269993,1.909659982,2.003109932,2.13312006,2.484339952,2.643610001,2.951489925,2.991329908,3.212869883,3.806220055,4.513770103,5.157670021,5.805190086,6.606050014,6.891890049,7.229269981,7.477809906,7.934569836,8.290249825,,,,,9.792840004,10.42230988,10.63871956,,12.07676029,13.25294971,14.30029964,15.04074955,16.16432953,18.90863991,20.28685951,21.9022007,23.84520912,25.94083977,28.36573029,30.33526993,33.66666031,
Bangladesh,BGD,,,,20.47238922,,,17.42276001,17.13072014,,16.76246071,18.46401024,16.39985085,,19.80026054,20.42934036,20.14411926,19.83683968,20.24019051,20.12561989,19.94113922,20.40052032,,,,,,,,43.65016937,46.71543884,48.10972977,49.36426163,50.50608063,50.27811813,46.83729935,45.51678848,46.09809113,46.87096024,44.88645172,48.5376091,50.1194191,50.86354065,53.53205109,58.30926132,,63.5245285,
Bulgaria,BGR,,90.22429657,91.25424194,92.52147675,94.09922791,95.40081787,91.10948181,93.89659882,92.33885956,89.66149139,89.90675354,90.33712006,91.12502289,91.94093323,92.1476593,93.43818665,99.09954834,100.2641373,101.9686584,102.5336304,99.10996246,98.03159332,96.13516998,93.22930145,90.43505859,92.13696289,93.04123688,92.5539093,91.83215332,91.88729858,92.56424713,93.57994843,95.28423309,86.89547729,89.40084076,90.45072174,91.37149048,91.69474792,90.61116028,89.52445984,90.4246521,93.18286133,93.17964172,98.87831879,100.8792877,99.01634979,
Bahrain,BHR,,50.62672043,50.37171173,51.70991898,55.08573914,58.61901093,60.37620163,61.65148163,65.87055969,68.42624664,58.99552155,64.28224945,70.33316803,84.11666107,85.50047302,92.26914215,97.39945221,94.31079865,91.6904068,90.40003967,86.93154144,99.43728638,98.49221802,101.8405838,105.1637802,106.1283569,104.216217,97.35269928,96.02433777,94.61477661,97.56790924,97.9642334,94.29730225,94.26097107,95.36969757,96.19618988,96.39595032,,91.79772186,91.99108124,92.85996246,95.29779816,91.65280151,96.63128662,98.8924408,102.1308975,
"Bahamas, The",BHS,,90.76348877,90.75021362,90.3444519,98.63378143,106.0943527,106.174118,,,,95.90354156,90.39678955,89.43753052,89.25366211,94.81804657,86.20558167,86.39479065,92.87921143,,,85.6882782,87.09227753,95.73455048,95.73314667,89.6640625,86.73174286,,82.03549194,,77.67108917,,,91.63223267,,86.37851715,89.29486084,91.60131836,95.0630722,94.44566345,92.98174286,92.63368225,,,,,,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,,89.63070679,91.05010986,92.79910278,94.80664063,94.94741821,94.72058105,94.73477936,94.71122742,95.15006256,96.34802246,97.39009857,97.76143646,98.3184433,98.72502899,98.9817276,99.03578186,99.32980347,98.84722137,98.23547363,96.85601807,93.35169983,92.53798676,91.52133179,92.2591095,93.48445892,94.77983093,94.56678009,85.92050934,,,,,,,,,,110.7637863,109.5285568,107.057869,106.3080826,107.0048676,106.2280121,107.0317993,107.1194229,
