"Country.Name","Country.Code","X2015","gdp","sani","pre","pri","sec","ter","smo.Daily.tobacco","smo.Daily.cigarettes","ob","al","co2","hiv"
"Germany","DEU",81.0902439,3.47e+12,99.2,111.1529999,104.9695282,102.6653976,68.26558685,24.2,23.1,56.8,10.6,8.889370395,1.14
"Djibouti","DJI",62.24982927,1115240425000,47.4,4.739769936,66.26309204,47.06901932,71.1147683466667,18.4,15.264,38.6,0.9,0.791961752,1.6
"Denmark","DNK",81.1,3.06e+11,99.6,95.92328644,101.5160065,130.8247375,82.78697205,15.6,11.5,55.4,10.2,5.935712482,0.2
"Dominican Republic","DOM",73.70368293,71583553488,84,44.00492859,103.4905396,77.82071686,50.11639023,11.3,8.9,61.2,7.6,2.069986634,1
"Algeria","DZA",75.85529268,1.56e+11,87.6,55.871124582,116.1544418,52.1562461833333,36.92227936,18.4,15.264,62,0.6,3.717409901,0.1
"Ecuador","ECU",76.0815122,97802211000,84.7,71.04486084,113.817337,107.7006912,43.41952896,4.5,3.9,56,6.1,2.761702175,0.3
"Egypt, Arab Rep.","EGY",71.29565854,3.36e+11,94.7,72.8678396550833,104.238007895,110.5796213125,36.22853851,20.3,14.8,63.5,0.3,2.198980246,0.1
"Eritrea","ERI",64.62439024,123749566799.4,15.7,13.22889996,49.6370697,30.54986,29.6175105570833,18.4,15.264,22,1.4,2.410716199,0.7
"Spain","ESP",83.3804878,1.23e+12,99.9,96.65988922,105.0263214,129.8104858,89.67014313,25.7,23,23.3,10.6,5.033824487,0.7
"Estonia","EST",77.13170732,23136741984,97.2,46.9364168665,98.41120911,115.1782227,69.5504303,26.1,23.6,55.8,6.05634076488312,14.84881917,0.555333333
"Ethiopia","ETH",65.00829268,72374252815,28,30.3617897,102.1220627,35.17324829,47.311694310963,3.3,2.9,20.9,4.3,0.119124015,1.2
"Finland","FIN",81.38536585,2.37e+11,97.6,79.29335785,101.5337296,149.4560852,87.28970337,16.8,13.6,57.9,11.9,8.660721243,0.610666667
"Fiji","FJI",70.22426829,4631626234,91.1,91.7147641493333,105.5448227,100.539477727,48.9642308533333,18.1,15.1,63.8,3.2,1.320574708,0.1
"France","FRA",82.67073171,2.47e+12,98.7,48.4759795502667,104.6045875575,97.5378375808889,52.34117381,23.5,20.1,59.5,11.6,4.572088353,0.646666667
"Gabon","GAB",65.68441463,14213558130,41.9,58.2636173188333,105.454998016667,89.8352500388111,37.9641624992469,18.4,15.264,40.2,11.8,2.768265721,3.9
"United Kingdom","GBR",81.60487805,2.62e+12,99.2,74.3458928657667,112.6745275,103.89224443425,61.5575834506444,20.3,20.3,27.7,12,6.49744049,3.18625
"Georgia","GEO",72.96612195,14332880086,86.3,65.8536570995533,116.7846527,103.6816177,43.41952896,24,21.7,54.2,6.7,2.411541991,0.3
"Ghana","GHA",62.4072439,42689783734,14.9,120.7888794,109.9253998,61.41250992,16.23051071,4.9,3.9,32,5.4,0.536533378,1.5
"Guinea","GIN",59.39895122,6298927773,20.1,91.54416122,103.111631262,73.9770948385,48.2284853877407,18.4,15.264,26.6,0.7,0.207492621,1.6
"Gambia, The","GMB",60.95743902,964599177.5,58.9,37.95362091,91.55632019,84.0684610086667,44.3769079844444,18.4,15.264,31.9,3.2,0.267684889,1.8
"Guinea-Bissau","GNB",56.95039024,1126122708,20.8,40.4440272653333,98.5569763,87.2909075266667,42.6713696786667,18.4,15.264,29.9,4.3,0.157241167,3.7
"Equatorial Guinea","GNQ",57.50839024,10178967206,74.5,57.75041962,79.12032318,96.9059448266667,59.7766484882815,18.4,15.264,26.7,8.1,4.733816529,6.2
"Greece","GRC",81.58780488,1.95e+11,99,87.367568790375,99.15460587,100.9850551192,62.1393148410556,35.2,29.7,62.3,9.3,6.180337268,0.15
"Guatemala","GTM",73.04297561,68763255964,63.9,44.65916824,101.7914124,65.62670135,21.84680939,18.4,15.264,55.9,3.9,1.150977994,0.5
"Guyana","GUY",66.53936585,3446266344,83.7,52.4695666600677,100.040803542,58.597635745,47.13847971,18.4,15.264,49.4,8.6,2.632347952,1.8
"Honduras","HND",73.32460976,21516915353,82.6,45.95742035,110.713768,70.77558899,22.05937004,11.1,9.9,55.8,4,1.07522179,0.4
"Croatia","HRV",77.27560976,50425333970,97,62.72557068,97.96414948,98.21647644,69.05249023,31.1,24.7,59.6,11.7,3.973804906,0.610666667
"Hungary","HUN",75.96097561,1.24e+11,98,79.3626709,101.6161499,105.2037735,50.86220169,25.1,22.1,61.6,12.4,4.265574976,0.610666667
"Indonesia","IDN",69.03863415,9.32e+11,60.8,52.157304586125,105.8527527,85.84207916,24.25494003,33.1,30.8,28.2,0.6,1.819363319,0.5
"India","IND",68.33260976,2.26e+12,39.6,12.20660019,108.6006165,73.96920013,26.87487984,10.7,3.1,19.7,4.6,1.730000432,2.6
"Ireland","IRL",81.50243902,2.94e+11,90.5,96.7951889,101.4280014,127.4819183,83.77778625,19.2,19.2,60.6,10.9,7.378117809,0.3
"Iran, Islamic Rep.","IRN",75.74263415,126373791143.55,90,50.78187943,108.916008,89.16723633,71.88114166,10.4,5.6,61.6,1,8.283020787,0.1
"Iceland","ISL",82.86097561,20047413006,98.8,57.9694636490773,104.5272540432,95.333139404,56.9347425924167,13.1,11.5,59.1,6.9,6.059657407,1.17
"Israel","ISR",82.05121951,3.19e+11,100,111.1035767,104.7763824,102.4788132,64.7467804,23.3,21.6,64.3,3.1,7.863181348,1.925
"Italy","ITA",83.4902439,1.85e+12,99.5,98.66101837,101.0373535,102.9024582,62.49607086,22,21.1,58.5,6.1,5.270866786,0.266666667
"Jamaica","JAM",75.80668293,14027151473,81.8,99.46716309,104.040077676875,82.10732269,27.22027016,13,9.3,55.5,5.1,2.59321537,1.6
"Japan","JPN",83.84365854,4.94e+12,100,69.4620715298133,110.875901485167,97.0397924348333,51.1656756308719,18.1,18.1,27.2,7.5,9.538706103,0.610666667
"Kazakhstan","KAZ",72,1.34e+11,97.5,60.37080002,110.5636826,109.1081009,46.03990936,17.4,16.1,53.6,8.2,14.36238966,0.2
"Kenya","KEN",66.64565854,70529014778,30.1,76.22380066,108.9739304,108.35930824,42.1037518129858,9.8,8.7,25.5,4,0.310415314,5.3
"Kyrgyz Republic","KGZ",70.65121951,6551287938,93.3,27.58789063,107.3585815,92.05046844,46.90145111,20.9,19.9,48.3,3.9,1.646395339,0.3
"Cambodia","KHM",68.47204878,20016747754,42.4,17.94376945,116.6571274,93.0300431265333,13.0882597,19.8,16.8,21.7,6.1,0.437759998,0.6
"Korea, Rep.","KOR",82.15585366,1.41e+12,100,93.58220673,99.00906372,98.88208771,93.17913818,25.7,25.7,30.3,10.9,11.57034541,0.610666667
"Lao PDR","LAO",66.28404878,15903437790,70.9,35.34938049,111.3458099,61.69723892,16.90589905,29,23.6,25.4,7.5,0.297200884,0.3
"Lebanon","LBN",79.4982439,47536798648,80.7,77.59599304,92.41384888,61.20574951,38.48477173,28.7,16.9,67.9,2.2,4.295732552,0.1
"Liberia","LBR",61.98021951,2.101e+09,16.9,156.0634155,93.91632843,37.29980087,55.1145093807052,11.2,7.5,30.9,5.2,0.212967664,1.2
"Sri Lanka","LKA",74.98895122,81321876307,95.1,93.03975677,101.6766968,98.95547748405,19.79661942,10.9,7.5,28.9,4.5,0.885545809,0.1
"Lesotho","LSO",53.57009756,2199709489,30.3,33.95215988,105.5202789,53.77215958,53.3356888729315,19.9,14.9,38.7,6.4,1.150111032,23.4
"Lithuania","LTU",75.1195122,42738875963,92.4,91.31036377,103.4391022,108.2596512,44.9220988843305,23.6,18.9,59.6,16.2,4.378090123,0.610666667
