Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Brazil,BRA,1.871118313,1.898353874,1.844379611,1.762482362,1.828671981,1.858087992,1.839393859,1.901371917,2.008670258,1.883811784,2.132937571,2.211587235,2.343570115,2.488417184,2.594388285,,
Barbados,BRB,4.402894974,4.511188282,4.525025969,4.660219351,4.739998755,4.938242904,4.986412836,4.93979359,5.844583314,5.807257514,5.285997375,5.449513722,5.222107001,5.127146392,4.490177673,,
Brunei Darussalam,BRN,14.14020184,13.25056672,12.62269977,12.99158717,13.90208971,13.70764162,13.13286158,22.45018193,24.04688439,20.48624704,21.10594553,24.60717794,24.18076388,19.23359197,22.12470124,,
Bhutan,BTN,0.690660881,0.653044437,0.689377786,0.605839592,0.481081773,0.603125919,0.583684405,0.571168834,0.601619231,0.544051575,0.67026322,0.990398509,1.086025018,1.203220818,1.289321371,,
Botswana,BWA,2.187461379,2.194012884,2.235280932,2.121745415,2.130846266,2.207093561,2.195251343,2.210450822,2.315483179,1.900285977,2.325924404,2.036091061,2.025409285,2.456718254,3.243287637,,
Central African Republic,CAF,0.07128948,0.064111687,0.062874461,0.058942176,0.057875688,0.056853953,0.059345636,0.059175593,0.058227969,0.057449997,0.059350908,0.0622615,0.06533025,0.06601109,0.066593111,,
Canada,CAN,17.36711469,16.98502952,16.55937785,17.46119914,17.25891114,17.25108328,16.69669436,16.85588274,16.87519788,15.96156016,15.723167,15.63975962,14.89063564,14.71068248,15.1132392,,
Central Europe and the Baltics,CEB,6.606420234,6.822125501,6.75654044,6.997372921,6.923880599,6.97931376,7.243359955,7.271122792,7.148695308,6.50781501,6.8200423,6.864349465,6.504366995,6.344838262,6.14888254,,
Switzerland,CHE,5.435484985,5.93984844,5.586512817,5.474267138,5.46256894,5.558350382,5.592175318,5.03057402,5.283044324,5.377973641,4.983428945,4.672038363,4.723574287,4.972835876,4.311562994,,
Chile,CHL,3.853499375,3.453563552,3.530720028,3.519261571,3.742118302,3.828453643,3.971510482,4.343916544,4.312294329,3.969555616,4.251715171,4.619729537,4.677982797,4.76586599,4.687376624,,
China,CHN,2.696862433,2.742120813,3.007083197,3.524074093,4.037990651,4.523178064,4.980314197,5.334909929,5.701915025,6.010102433,6.560520007,7.241515419,7.424750916,7.557211045,7.543907641,,
Cote d'Ivoire,CIV,0.406991231,0.453421366,0.419561908,0.308844016,0.425832957,0.426769671,0.374162963,0.355057998,0.347554665,0.283812055,0.341512032,0.346951476,0.434007998,0.486455715,0.490206046,,
Cameroon,CMR,0.224712545,0.218308253,0.212475488,0.229828383,0.23330822,0.212179525,0.215723212,0.317155402,0.293251264,0.346083304,0.33951502,0.281094803,0.290648216,0.312755732,0.314928068,,
"Congo, Dem. Rep.",COD,0.017292618,0.017276319,0.018616172,0.019194831,0.022610101,0.027392924,0.028470592,0.030067893,0.030794399,0.028027156,0.031314551,0.037377088,0.034820686,0.050339213,0.063369191,,
"Congo, Rep.",COG,0.325124228,0.231136261,0.168972288,0.261740193,0.263422291,0.264306556,0.291079843,0.305257019,0.318099788,0.410345599,0.451406105,0.50055554,0.641061363,0.649833428,0.635369293,,
Colombia,COL,1.433620241,1.372902655,1.338899634,1.362244907,1.288989699,1.407985384,1.435824144,1.40690202,1.516403445,1.599905659,1.658923082,1.64912349,1.705398582,1.893103161,1.759537174,,
Comoros,COM,0.189314418,0.184706272,0.180298132,0.226353755,0.239461311,0.227828399,0.257569541,0.160026184,0.161805094,0.196081111,0.233942107,0.192025124,0.197567789,0.237378287,0.202814119,,
Cabo Verde,CPV,0.497272909,0.528914892,0.60831973,0.669412166,0.705698963,0.927245257,0.983876704,1.040309351,0.954553682,1.055171109,1.109478009,1.212548739,0.984565517,0.958866077,0.933403237,,
Costa Rica,CRI,1.394703986,1.441368065,1.556794835,1.605990202,1.655258443,1.616889851,1.647633189,1.858899789,1.835359367,1.760677795,1.665175303,1.682660743,1.668780062,1.614402173,1.630951062,,
Caribbean small states,CSS,6.506692171,6.924531595,7.040816801,7.567341291,7.776927815,8.392102287,9.147516071,9.293786903,9.188087709,8.915001641,9.27710945,9.143734221,8.886377531,9.138025489,8.884541385,,
Cuba,CUB,2.339161379,2.275291775,2.325789771,2.266421577,2.21934889,2.304659777,2.426221024,2.370445059,2.691785692,2.641408453,3.386127443,3.169444662,3.176608348,3.049362141,3.045210624,,
Curacao,CUW,,,,,,,,,,,,,39.44566304,33.89940321,37.72628905,,
Cayman Islands,CYM,11.17156428,10.83608828,10.90149314,10.75530112,9.768536333,9.728990992,9.674881573,11.11147369,11.01638136,10.2688701,10.04168844,10.36992524,9.307268397,9.172054616,9.171838032,,
Cyprus,CYP,7.347326262,7.129456764,7.187870407,7.798570398,7.258439643,7.300757645,7.449680491,7.704853381,7.930294398,7.386924038,6.927903563,6.60156823,6.096256416,5.199663256,5.260352041,,
Czech Republic,CZE,12.07688904,12.10978725,11.7437029,11.97368903,11.4518445,11.76245004,11.92582928,11.97251522,11.23377283,10.30832179,10.65257862,10.18548225,9.611985879,9.384891603,9.165978376,,
Germany,DEU,10.09563988,10.3662867,10.0586725,9.969354525,9.898682369,9.666372234,9.911476012,9.488039888,9.506321178,8.818595562,9.279634012,9.12485921,9.199299757,9.39062342,8.889370395,,
Djibouti,DJI,0.475248891,0.500470172,0.535636226,0.555888033,0.528103722,0.529037834,0.515825011,0.57084366,0.606017007,0.552127049,0.607471574,0.546278771,0.586763279,0.678855968,0.791961752,,
Dominica,DMA,1.473620759,1.579015358,1.47049725,1.674118671,1.615211924,1.661460914,1.605448614,2.170739958,1.857388074,1.853346249,1.950531915,1.789578627,1.883279662,1.823370166,1.864285911,,
Denmark,DNK,9.613175554,9.875092348,9.68193193,10.38827349,9.362701019,8.690076931,10.11291416,9.20201511,8.543351098,8.058895601,8.40721667,7.296383208,6.514800847,6.862565032,5.935712482,,
Dominican Republic,DOM,2.311301258,2.278507636,2.415109906,2.399070559,2.011351755,2.017778384,2.111060875,2.227743225,2.149242258,2.070810108,2.123958664,2.117090045,2.178544552,2.085432517,2.069986634,,
Algeria,DZA,2.817543547,2.665851517,2.810044593,2.826112964,2.69593129,3.22268315,2.992187469,3.189641475,3.161381458,3.423011434,3.299703688,3.291376176,3.46026581,3.507310029,3.717409901,,
East Asia & Pacific (excluding high income),EAP,2.314714713,2.372122397,2.564652904,2.946380756,3.325951746,3.665266934,3.96932251,4.224755388,4.506350811,4.730109785,5.110046852,5.646130738,5.777982902,5.795473671,5.78066541,,
Early-demographic dividend,EAR,1.712683475,1.704119195,1.706719271,1.766189603,1.82596423,1.859521307,1.931014576,1.976617269,2.0801922,2.129049547,2.120265795,2.201766916,2.296320338,2.211199457,2.295599935,,
East Asia & Pacific,EAS,3.202506771,3.238781216,3.428443775,3.766955926,4.124040901,4.402045568,4.674995214,4.92257214,5.158881614,5.309028481,5.705764095,6.194419779,6.311753964,6.335395945,6.29865701,,
Europe & Central Asia (excluding high income),ECA,6.831223163,6.838476983,6.887872075,7.190673434,7.264795917,7.305776955,7.574021399,7.671985671,7.78760803,7.057223437,7.520215215,7.846975875,7.957457609,7.694491985,7.385524817,,
Europe & Central Asia,ECS,7.604236028,7.689722331,7.66123339,7.862515971,7.889590045,7.868362616,7.999938685,7.936460406,7.890886648,7.216633338,7.540720998,7.499020209,7.472337097,7.288793139,6.916209428,,
Ecuador,ECU,1.640605971,1.798584661,1.908671472,2.029189439,2.150041892,2.203366408,2.066177292,2.244788111,2.344230258,2.455104271,2.441361756,2.543911176,2.473495016,2.617689044,2.761702175,,
"Egypt, Arab Rep.",EGY,2.021660576,1.761296175,1.752215942,1.999994134,2.001962275,2.177805381,2.28491226,2.377408257,2.453080477,2.50693511,2.41019138,2.528167325,2.471928185,2.376329652,2.198980246,,
Euro area,EMU,8.207013776,8.378061479,8.335929408,8.412746174,8.444274922,8.351671522,8.317244915,8.131036083,7.905203798,7.284917549,7.425634147,7.16133781,6.996928333,6.84456842,6.475621267,,
Eritrea,ERI,0.179415769,0.180355057,0.16739016,0.194225396,0.199571194,0.193096913,0.137963994,0.139499082,0.09789904,0.119104459,0.11692068,0.132758694,,,,,
Spain,ESP,7.257824346,7.290748328,7.591280782,7.611166445,7.908050681,8.097058048,7.88419571,7.920890716,7.165531607,6.216973378,5.816416366,5.788018458,5.660938803,5.084398353,5.033824487,,
Estonia,EST,10.63625164,11.21670899,10.79350419,12.49335386,12.68399031,12.36701519,12.00996206,13.95488409,13.08183443,10.91432018,13.59968907,14.01673297,13.32400037,15.09371797,14.84881917,,
Ethiopia,ETH,0.053348338,0.063550673,0.064136044,0.068745056,0.070957323,0.06671871,0.069804932,0.074245057,0.079084048,0.077619139,0.07509386,0.085803968,0.092622864,0.112072453,0.119124015,,
European Union,EUU,8.013426014,8.172648651,8.103745058,8.222474481,8.20809822,8.142762854,8.176670916,8.008156136,7.802386254,7.155647741,7.354520513,7.07937396,6.917691494,6.753895169,6.379608619,,
