Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Switzerland,CHE,37.69380951,39.68127823,40.85055923,43.94049835,45.50630951,45.71459961,46.44490814,47.13521957,48.71183014,50.01467133,52.79273987,54.33826828,55.49990082,56.3110199,57.22953033,57.67219162,
Chile,CHL,37.14741898,,41.74811935,44.59429169,44.75780869,49.99465179,48.61949921,54.31214905,57.25669098,61.87060165,69.67411041,75.04631042,79.44690704,83.81643677,86.63069916,88.5772934,
China,CHN,7.720479965,9.951310158,12.79104042,15.63580036,17.91102982,19.3358593,20.4976902,20.84453011,20.93997955,22.51596069,23.94791985,24.87281036,27.18442917,30.16206932,39.39038849,43.39176941,
Cote d'Ivoire,CIV,,,,,,,,9.418549538,8.91781044,8.778490067,8.069169998,3.599329948,,8.617699623,8.680210114,9.155269623,
Cameroon,CMR,4.614449978,4.628930092,5.055789948,5.090799809,5.058790207,5.80821991,6.758090019,7.203750134,7.816259861,8.962909698,11.03824043,11.92603016,12.91421032,15.05823994,16.00612068,17.47789955,
"Congo, Dem. Rep.",COD,,,,,,,4.385019779,4.392479897,5.505159855,6.502570152,,7.814499855,7.922460079,6.640759945,,,
"Congo, Rep.",COG,5.188980103,4.343570232,3.881779909,3.885360003,,,,,,6.553949833,,9.11577034,10.4394598,9.718799591,,,
Colombia,COL,23.19449997,23.92045975,23.96557045,,26.61447906,29.18512917,31.33164024,32.63217163,35.24565125,37.07862854,39.40909958,43.50296021,46.21575165,50.1038208,53.27893829,55.65726852,
Comoros,COM,1.41455996,,,3.016330004,,,,4.053860188,,5.800899982,5.699810028,7.909150124,8.599889755,8.682629585,8.928420067,,
Cabo Verde,CPV,2.012769938,1.70915997,4.061759949,4.691699982,6.092229843,7.461400032,8.316940308,9.297539711,11.47159958,14.46662045,17.30555916,20.08601952,20.12141037,22.31138039,22.98217964,21.70782089,
Costa Rica,CRI,,,,,27.28141975,,,,,,,47.17974091,49.32474136,50.00852966,53.03828049,53.62966156,
Caribbean small states,CSS,13.30058002,14.34508991,15.40071011,16.37957954,17.70000076,17.19091034,17.29801941,18.54541969,20.04709053,20.51074028,21.78358078,21.51029968,22.68748093,22.27902031,22.43045044,,
Cuba,CUB,22.36265945,25.57953072,27.35268021,33.14498901,54.39498138,62.86386108,87.65174103,107.4469681,119.7787476,116.8554916,97.05809784,82.49691772,64.45275116,49.39965057,40.99975967,36.28039932,
Curacao,CUW,,,,,,,,,,,,,,20.31263924,,,
Cyprus,CYP,19.56232071,21.61252022,25.1022892,31.9636097,35.86368942,33.22082138,33.41991043,36.17380905,42.61800003,52.00389099,48.31158066,46.53973007,45.86359024,47.52524185,53.10435104,60.10123062,
Czech Republic,CZE,28.4217701,30.05195045,34.52164841,37.09241104,43.82500076,48.4405899,50.22108841,54.25680923,58.14141083,61.14725876,64.01898193,65.64874268,65.86196899,65.37744141,66.01725769,64.96671295,
Germany,DEU,,,,,,,,,,,,,,61.05641937,65.47380066,68.26558685,
Djibouti,DJI,0.268000007,0.69283998,1.021319985,1.281039953,1.597790003,2.335350037,2.55279994,2.756020069,2.756370068,3.437510014,3.441509962,4.985060215,,,,,
Denmark,DNK,57.2492981,60.02825928,63.53427124,67.53456116,74.43656921,80.42349243,79.06494141,78.58489227,75.70343781,74.30094147,73.61965179,76.80114746,79.25263214,81.23703003,81.51647186,82.78697205,
Dominican Republic,DOM,,,,33.32450867,,,,,,,,,46.72692871,,47.51575851,50.11639023,
Algeria,DZA,,15.56346035,17.27210999,18.47307014,19.04335976,20.76147079,21.2300396,23.4881897,,29.81871986,29.83456039,31.20259094,32.23133087,33.96575928,34.59381104,36.92227936,
