Country.Name,Country.Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Switzerland,CHE,95.41233826,95.10865784,93.46543121,93.52377319,94.15007782,95.18182373,95.75375366,95.62727356,95.60733032,95.33744812,95.86147308,96.1876297,96.22566223,98.60829926,99.76940918,101.2139664,
Chile,CHL,87.10047913,,90.64209747,93.45079041,95.37113953,97.6583786,98.3335495,97.66158295,97.04611206,94.21282959,94.57370758,93.78813171,91.46588898,100.4576721,100.4045486,100.6461868,
China,CHN,61.02743912,60.90147018,60.79652023,62.26667023,,,68.44516754,72.58003998,76.69760895,80.60784912,84.92115784,89.07794189,92.14324951,96.24175262,94.3320694,94.29920959,
Cote d'Ivoire,CIV,,,,,,,,,,,,,,,40.13216019,43.86772919,
Cameroon,CMR,27.29512024,32.04550171,27.88825035,29.41011047,26.17791939,26.64418983,23.16983032,31.76378059,35.94419098,39.63644028,,47.2656517,50.46743011,52.30213165,56.43072891,58.07812881,
"Congo, Dem. Rep.",COD,,,,,,,,35.06579971,37.7469902,39.67306137,39.36796188,41.37886047,41.28369904,40.99367142,43.50521088,,
"Congo, Rep.",COG,,,39.06435013,40.4610405,45.89337921,,,,,,,,54.54338074,,,,
Colombia,COL,69.93157959,,72.66848755,,78.73001099,83.40794373,87.77696228,91.60233307,93.97065735,99.23593903,102.0206223,103.8726501,99.85002899,100.3377304,98.76190948,98.09185791,
Comoros,COM,,,35.62646866,39.42721939,43.39022064,,,,,,,,,59.33229065,60.35041046,,
Cabo Verde,CPV,67.29828644,64.25710297,66.5941391,66.71695709,65.70594788,68.69293976,80.02838135,80.1696167,83.09976196,83.26802063,86.4719696,89.53450012,91.48712921,94.24517059,92.57946777,92.89842987,
Costa Rica,CRI,63.96944046,69.28295135,70.7593689,,82.49919128,84.36382294,91.00605011,92.07305908,93.14224243,99.64572144,102.1853104,104.5628891,107.9509583,114.6366196,120.3266525,123.0857315,
Caribbean small states,CSS,84.58831024,85.8739624,85.98745728,85.8223114,88.03809357,87.83151245,88.87069702,89.67887878,90.40592957,90.56217194,90.04592896,91.00167084,85.31842804,79.58516693,79.32602692,,
Cuba,CUB,83.40912628,85.33818817,89.10328674,92.00183105,91.18701935,92.64378357,94.0296936,93.92165375,93.32927704,91.5825119,91.88926697,92.44313049,91.93125916,93.29467773,99.66513062,100.3998718,
Curacao,CUW,,,,,,,,,,,,,,88.34554291,,,
Cyprus,CYP,93.37213898,93.44506073,96.91520691,98.424263,97.71511841,96.54328156,96.59815216,97.77915192,98.32904053,98.38755798,91.44080353,92.82562256,95.29985046,98.31169128,99.41673279,99.77831268,
Czech Republic,CZE,88.465271,94.94851685,95.6342392,96.61810303,95.57145691,95.80693817,96.18123627,95.09642792,94.29654694,94.01081085,94.8289032,95.98412323,97.08306885,104.3797607,105.1258469,105.5617294,
Germany,DEU,99.84454346,100.6418304,101.6411896,102.0321426,102.3894577,102.5061035,103.1978989,102.510788,103.5865936,103.3261795,103.9837036,103.6433105,102.8838806,102.4776993,102.429863,102.6653976,
