Country name,Country code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
SPAIN,ESP,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
ESTONIA,EST,0.5,0.6,0.7,0.8,0.9,1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3,
ETHIOPIA,ETH,3.2,3.1,2.8,2.6,2.4,2.1,1.9,1.7,1.6,1.5,1.4,1.3,1.3,1.2,1.2
FINLAND,FIN,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,
FIJI,FJI,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FRANCE,FRA,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,,
GABON,GAB,5.5,5.7,5.9,5.9,5.8,5.7,5.6,5.5,5.2,5,4.7,4.5,4.3,4.1,3.9
UNITED KINGDOM,GBR,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
GEORGIA,GEO,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3
GHANA,GHA,2.3,2.3,2.2,2.2,2.1,2,1.9,1.9,1.8,1.7,1.7,1.6,1.6,1.5,1.5
GUINEA,GIN,1.9,1.9,1.8,1.8,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
GAMBIA,GMB,1.5,1.7,1.8,1.9,2,2.1,2.1,2.1,2.1,2.1,2,2,1.9,1.9,1.8
GUINEA-BISSAU,GNB,2.2,2.5,2.8,3,3.3,3.5,3.6,3.7,3.8,3.9,3.9,3.9,3.8,3.8,3.7
EQUATORIAL GUINEA,GNQ,1.5,1.9,2.3,2.8,3.3,3.9,4.4,4.9,5.4,5.7,6.1,6.2,6.3,6.3,6.2
GREECE,GRC,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,
GUATEMALA,GTM,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5
GUYANA,GUY,0.6,0.8,0.9,1,1.1,1.2,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.8
HONDURAS,HND,1.2,1.1,1,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.4,0.4
CROATIA (LOCAL NAME: HRVATSKA),HRV,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,
HAITI,HTI,3.2,3.1,2.9,2.8,2.6,2.4,2.3,2.2,2.2,2.1,2.1,2,2,2,1.9
HUNGARY,HUN,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,
INDONESIA,IDN,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5
INDIA,IND,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
IRELAND,IRL,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3
