"Country.Name","Country.Code","life","gdp","sani","pre","pri","sec","ter","smo.tob","smo.cig","ob","al","co2","hiv"
"Ghana","GHA",62.4072439,42689783734,14.9,115.1036072,88.942150115,45.122852325,15.89387989,4.9,3.9,32,5.4,0.536533378,1.6
"Guatemala","GTM",73.04297561,68763255964,63.9,43.71112823,103.5915985,63.53115845,19.331355095,18.4,15.264,55.9,3.9,1.150977994,0.5
"Guinea-Bissau","GNB",56.95039024,1126122708,20.8,14.1970551005,90.7396698125,95.51626434,6.155647853975,18.4,15.264,29.9,4.3,0.157241167,3.1
"Guinea","GIN",59.39895122,6298927773,20.1,15.131369709375,109.1496277,68.38008881,10.84932995,18.4,15.264,26.6,0.7,0.207492621,1.5
"Guyana","GUY",66.53936585,3446266344,83.7,82.476610185,98.87487793,98.99999237,15.920222728,18.4,15.264,49.4,8.6,2.632347952,1.6
"Honduras","HND",73.32460976,21516915353,82.6,47.10662079,101.5117493,106.9843597,21.18413925,11.1,9.9,55.8,4,1.07522179,0.4
"India","IND",68.33260976,2.26e+12,39.6,11.7343502,102.1174622,127.2033005,25.53544998,10.7,3.1,19.7,4.6,1.730000432,0.3
"Indonesia","IDN",69.03863415,9.32e+11,60.8,58.15596008,116.06229402,50.9002431233333,31.10210037,33.1,30.8,28.2,0.6,1.819363319,0.4
"Ireland","IRL",81.50243902,2.94e+11,90.5,106.6761398,104.1763687,101.8636475,77.62693787,19.2,19.2,60.6,10.9,7.378117809,0.2
"Italy","ITA",83.4902439,1.85e+12,99.5,99.01548004,103.428962678,83.0246582,63.0958519,22,21.1,58.5,6.1,5.270866786,0.3
"Jamaica","JAM",75.80668293,14027151473,81.8,93.00338745,97.34287262,82.44554138,29.660846996,13,9.3,55.5,5.1,2.59321537,1.7
"Jordan","JOR",74.19102439,38654727746,98.6,32.79943848,111.3487701,105.4827194,44.2454586016667,31,22,69.6,0.7,3.002514727,0.1
"Kazakhstan","KAZ",72,1.34e+11,97.5,57.21908951,111.3958588,57.8854611708333,48.47533035,17.4,16.1,53.6,8.2,14.36238966,0.2
"Kenya","KEN",66.64565854,70529014778,30.1,73.79904175,116.3896408,43.634583590625,8.5583013591875,9.8,8.7,25.5,4,0.310415314,5.4
"Kuwait","KWT",74.74682927,152854095877.8,100,89.354175187,102.6835098,93.60362244,29.774485684,18.4,15.264,73.4,0.1,25.22386443,0.1
"Latvia","LVA",74.12439024,27677391316,87.8,90.92925262,94.11962128,61.66709137,67.03972626,30,26.8,57.8,10.6,3.498192882,0.7
"Lebanon","LBN",79.4982439,47536798648,80.7,94.8794632,95.64746857,37.87348175,42.77283096,28.7,16.9,67.9,2.2,4.295732552,0.1
"Lesotho","LSO",53.57009756,2199709489,30.3,31.16571999,106.847826387,109.076708976,9.842200279,19.9,14.9,38.7,6.4,1.150111032,25
"Liberia","LBR",61.98021951,2.101e+09,16.9,157.901062,101.2704468,97.3763535785417,12.042202711,11.2,7.5,30.9,5.2,0.212967664,1.6
"Lithuania","LTU",75.1195122,42738875963,92.4,88.24764252,102.4602203,106.8218307,68.53141022,23.6,18.9,59.6,16.2,4.378090123,0.2
"Madagascar","MDG",65.50782927,9990653078,12,13.89449978,100.4082108,115.3598022,4.775559902,18.4,15.264,23.4,1.9,0.130421321,0.2
"Malawi","MWI",62.54336585,5441852138,41,81.160598754,116.1342468,60.3807431528333,3.22323783222222,11.9,9.7,42.5,2.5,0.07476291,9.2
"Malaysia","MYS",75.22019512,2.96e+11,96,91.0352478,146.744812,38.43492889,27.60483932,18.2,16.1,30.6,1.7,8.032991579,0.4
"Mali","MLI",57.45770732,14045098238,24.7,3.947139978,103.3891983,90.54969025,7.43408654816667,14.9,8.5,66.4,1,0.083228663,1
"Malta","MLT",81.94634146,10949092472,100,108.3677902,101.191492085,91.190961825,44.68619919,20.7,18.3,83.5,7.2,5.491524789,0.1
"Mauritania","MRT",63.04636585,4634588338,40,3.316410065,101.9049988,94.25666809,6.0450098056325,19,8.7,32.3,0.1,0.666822428,0.5
"Mexico","MEX",76.88136585,1.05e+12,85.2,68.95825958,108.3282292094,96.3205439333333,29.9409008,8.3,8,75.9,6.8,3.866241113,0.3
"Mongolia","MNG",69.11587805,11160356498,59.7,88.6090850866667,101.6784286,95.9302562966667,64.27417755,22.7,20.2,59.4,7.8,7.127326348,0.1
"Montenegro","MNE",76.86431707,4173255531,95.9,49.1955089566667,97.97109985,29.9353199,46.8265332133333,18.4,15.264,60.4,11.5,3.55607179,0.1
